lsoa_int_zone_id,msoa_zone_id,lsoa_int_to_msoa,msoa_to_lsoa_int
E01009910,E02002028,1,0.252550662
E01009904,E02002028,1,0.231164099
E01009903,E02002028,1,0.25020856
E01009379,E02001897,1,0.185105298
E01009363,E02001897,1,0.315507586
E01009362,E02001897,1,0.112989035
E01009365,E02001897,1,0.207658677
E01009364,E02001897,1,0.178739404
E01009112,E02001953,1,0.142239783
E01009108,E02001953,1,0.141289003
E01009116,E02001953,1,0.4780173
E01009118,E02001953,1,0.118727878
E01009111,E02001953,1,0.119726036
E01009168,E02001957,1,0.182946713
E01009216,E02001957,1,0.275438348
E01009170,E02001957,1,0.223659992
E01009166,E02001957,1,0.127964112
E01009217,E02001957,1,0.189990834
E01009082,E02001870,1,0.269642636
E01009480,E02001870,1,0.136683881
E01009086,E02001870,1,0.195646191
E01009486,E02001870,1,0.132114901
E01009481,E02001870,1,0.144490668
E01009487,E02001870,1,0.121421723
E01032255,E02006727,1,0.106967265
E01032263,E02006727,1,0.278351599
E01032274,E02006727,1,0.331057858
E01032266,E02006727,1,0.283623279
E01009058,E02001859,1,0.032117493
E01009054,E02001859,1,0.044996465
E01009061,E02001859,1,0.042435514
E01009053,E02001859,1,0.03976485
E01009051,E02001859,1,0.081182438
E01009239,E02001859,1,0.75950324
E01009101,E02001855,1,0.378982984
E01009099,E02001855,1,0.082785
E01009096,E02001855,1,0.131627123
E01009097,E02001855,1,0.249454963
E01009106,E02001855,1,0.071447258
E01009103,E02001855,1,0.085702671
E01009205,E02001946,1,0.238202823
E01009219,E02001946,1,0.145294612
E01009218,E02001946,1,0.279232863
E01009211,E02001946,1,0.142088776
E01009206,E02001946,1,0.195180926
E01010065,E02002068,1,0.096904493
E01010062,E02002068,1,0.274779582
E01010059,E02002068,1,0.079134127
E01010064,E02002068,1,0.133682529
E01010063,E02002068,1,0.351719535
E01010061,E02002068,1,0.063779734
E01010176,E02002094,1,0.417317235
E01010172,E02002094,1,0.152176968
E01010179,E02002094,1,0.235232806
E01010173,E02002094,1,0.195272991
E01009515,E02001893,1,0.205952822
E01008897,E02001893,1,0.141849867
E01009521,E02001893,1,0.166486759
E01008881,E02001893,1,0.246914556
E01009518,E02001893,1,0.238795997
E01009742,E02002022,1,0.174993143
E01009731,E02002022,1,0.164941055
E01009743,E02002022,1,0.224658211
E01009740,E02002022,1,0.287921271
E01009745,E02002022,1,0.14748632
E01032887,E02002060,1,0.343410522
E01009985,E02002060,1,0.11789716
E01009981,E02002060,1,0.538692317
E01009781,E02002006,1,0.329459247
E01009789,E02002006,1,0.280932877
E01009790,E02002006,1,0.214030396
E01009786,E02002006,1,0.17557748
E01009275,E02001865,1,0.137784899
E01009353,E02001865,1,0.096933412
E01033635,E02001865,1,0.326113233
E01009355,E02001865,1,0.223038609
E01009350,E02001865,1,0.089850804
E01009352,E02001865,1,0.126279043
E01033645,E02001914,1,0.148193787
E01009186,E02001914,1,0.542603157
E01009183,E02001914,1,0.309203056
E01009500,E02001921,1,0.180454216
E01009077,E02001921,1,0.18964056
E01008919,E02001921,1,0.321598352
E01009064,E02001921,1,0.138449388
E01009291,E02001921,1,0.169857485
E01009724,E02002027,1,0.262180302
