hybrid_zone_id,msoa_zone_id,hybrid_to_msoa,msoa_to_hybrid
E01032464,E02006773,1,0.185215849
E01032359,E02006750,1,0.349572805
E01032361,E02006750,1,0.305035448
E01032360,E02006750,1,0.345391747
E01009394,E02001919,1,0.259902092
E01009389,E02001919,1,0.26034713
E01009185,E02001919,1,0.248034416
E01009390,E02001919,1,0.231716363
E01009268,E02001862,1,0.145167218
E01009274,E02001862,1,0.19891584
E01009351,E02001862,1,0.175946343
E01009349,E02001862,1,0.190463065
E01009272,E02001862,1,0.132028666
E01009354,E02001862,1,0.157478868
E01010015,E02002063,1,0.194594065
E01010072,E02002063,1,0.241798061
E01010073,E02002063,1,0.155224758
E01010016,E02002063,1,0.163255313
E01010018,E02002063,1,0.245127803
E01009263,E02001858,1,0.200563441
E01009056,E02001858,1,0.245313685
E01009265,E02001858,1,0.202947232
E01009049,E02001858,1,0.189619677
E01009264,E02001858,1,0.161555965
E01009278,E02006809,1,0.181773736
E01009276,E02006809,1,0.161044295
E01009279,E02006809,1,0.146866139
E01032591,E02006809,1,0.166813337
E01009267,E02006809,1,0.171897917
E01009262,E02006809,1,0.171604576
E01032318,E02006742,1,0.18336295
E01032320,E02006742,1,0.2055753
E01032322,E02006742,1,0.212794314
E01032319,E02006742,1,0.192803199
E01032321,E02006742,1,0.205464238
E01010027,E02002078,1,0.251935484
E01009923,E02002078,1,0.224193548
E01010026,E02002078,1,0.289677419
E01010024,E02002078,1,0.234193548
E01009328,E02006900,1,0.150778458
E01009335,E02006900,1,0.122511485
E01009327,E02006900,1,0.112557427
E01009200,E02006900,1,0.135783563
E01009332,E02006900,1,0.12270291
E01009333,E02006900,1,0.113961205
E01009344,E02006900,1,0.104900459
E01009331,E02006900,1,0.136804492
E01009160,E02001951,1,0.184987509
E01033633,E02001951,1,0.34828526
E01009157,E02001951,1,0.163070634
E01009155,E02001951,1,0.146150352
E01009161,E02001951,1,0.157506246
E01010042,E02002077,1,0.173908864
E01009956,E02002077,1,0.151509325
E01009933,E02002077,1,0.139492405
E01009955,E02002077,1,0.197846568
E01009952,E02002077,1,0.200249952
E01009959,E02002077,1,0.136992886
E01009110,E02001954,1,0.193230277
E01009115,E02001954,1,0.192297441
E01009113,E02001954,1,0.172041578
E01009114,E02001954,1,0.198160981
E01009107,E02001954,1,0.244269723
E01009080,E02001864,1,0.218054559
E01009079,E02001864,1,0.246410625
E01009083,E02001864,1,0.300969131
E01009081,E02001864,1,0.234565686
E01010178,E02002093,1,0.294724604
E01010175,E02002093,1,0.254032844
E01010174,E02002093,1,0.244586543
E01010177,E02002093,1,0.206656009
E01008965,E02001933,1,0.19921875
E01008966,E02001933,1,0.213766164
E01008953,E02001933,1,0.20703125
E01008964,E02001933,1,0.202990302
E01008963,E02001933,1,0.176993534
E01009751,E02002016,1,0.186485466
E01009841,E02002016,1,0.206367183
E01009752,E02002016,1,0.193406317
E01009753,E02002016,1,0.19869133
E01009754,E02002016,1,0.215049704
E01009909,E02002028,1,0.245960197
E01009910,E02002028,1,0.261949311
E01009904,E02002028,1,0.24749107
E01009903,E02002028,1,0.244599422
E01009379,E02001897,1,0.215375229
E01009363,E02001897,1,0.19609518
E01009362,E02001897,1,0.168883466
E01009365,E02001897,1,0.233435021
E01009364,E02001897,1,0.186211104
E01009112,E02001953,1,0.24335584
E01009108,E02001953,1,0.137767562
E01009116,E02001953,1,0.200833214
E01009118,E02001953,1,0.203419049
E01009111,E02001953,1,0.214624336
E01009168,E02001957,1,0.184835333
E01009216,E02001957,1,0.252616799
E01009170,E02001957,1,0.189303038
E01009166,E02001957,1,0.162241511
E01009217,E02001957,1,0.211003319
E01009082,E02001870,1,0.115366355
E01009480,E02001870,1,0.166323785
E01009086,E02001870,1,0.162763095
E01009486,E02001870,1,0.173207786
E01009481,E02001870,1,0.195046685
E01009487,E02001870,1,0.187292293
E01032255,E02006727,1,0.231816672
E01032263,E02006727,1,0.290269014
E01032274,E02006727,1,0.206077715
E01032266,E02006727,1,0.271836599
E01009058,E02001859,1,0.18475312
E01009054,E02001859,1,0.150298426
E01009061,E02001859,1,0.162958944
E01009053,E02001859,1,0.146952433
E01009051,E02001859,1,0.169741364
E01009239,E02001859,1,0.185295714
E01009101,E02001855,1,0.161434978
E01009099,E02001855,1,0.188646555
E01009096,E02001855,1,0.165817366
E01009097,E02001855,1,0.207908683
E01009106,E02001855,1,0.124541378
E01009103,E02001855,1,0.15165104
E01009205,E02001946,1,0.18438035
E01009219,E02001946,1,0.2105887
E01009218,E02001946,1,0.209798499
E01009211,E02001946,1,0.193467668
E01009206,E02001946,1,0.201764783
E01010065,E02002068,1,0.270160717
E01010062,E02002068,1,0.134333665
E01010059,E02002068,1,0.149907552
E01010064,E02002068,1,0.12466221
E01010063,E02002068,1,0.175437349
E01010061,E02002068,1,0.145498507
E01010176,E02002094,1,0.241196334
E01010172,E02002094,1,0.250040199
E01010179,E02002094,1,0.266763145
E01010173,E02002094,1,0.242000322
E01009515,E02001893,1,0.183942125
E01008897,E02001893,1,0.215607211
E01009521,E02001893,1,0.197936433
E01008881,E02001893,1,0.203154649
E01009518,E02001893,1,0.199359583
E01009742,E02002022,1,0.186440678
E01009731,E02002022,1,0.167898988
E01009743,E02002022,1,0.213513821
E01009740,E02002022,1,0.238994426
E01009745,E02002022,1,0.193152087
E01032887,E02002060,1,0.482829469
E01009985,E02002060,1,0.251687702
E01009981,E02002060,1,0.265482829
E01009781,E02002006,1,0.318755775
E01009789,E02002006,1,0.217277487
E01009790,E02002006,1,0.229134586
E01009786,E02002006,1,0.234832153
E01009275,E02001865,1,0.153852732
E01009353,E02001865,1,0.142649448
E01033635,E02001865,1,0.27460874
E01009355,E02001865,1,0.136919525
E01009350,E02001865,1,0.142307363
E01009352,E02001865,1,0.149662191
E01033645,E02001914,1,0.516445963
E01009186,E02001914,1,0.241777018
E01009183,E02001914,1,0.241777018
E01009500,E02001921,1,0.201692174
E01009077,E02001921,1,0.231678487
E01008919,E02001921,1,0.194351126
E01009064,E02001921,1,0.177056115
E01009291,E02001921,1,0.195222098
E01009724,E02002027,1,0.263950073
E01009730,E02002027,1,0.266886931
E01009723,E02002027,1,0.224118943
E01009720,E02002027,1,0.245044053
E01032363,E02006752,1,0.211501244
E01032362,E02006752,1,0.328725463
E01032364,E02006752,1,0.236660216
E01032366,E02006752,1,0.223113077
E01032379,E02006763,1,0.21649965
E01032380,E02006763,1,0.184805407
E01032344,E02006763,1,0.262176649
E01032342,E02006763,1,0.336518294
E01009999,E02002075,1,0.159760641
E01009931,E02002075,1,0.272101163
E01009929,E02002075,1,0.200745173
E01009932,E02002075,1,0.186632042
E01009930,E02002075,1,0.18076098
E01032287,E02006745,1,0.19997595
E01032290,E02006745,1,0.172077922
E01032289,E02006745,1,0.165103415
E01032286,E02006745,1,0.278018278
E01032288,E02006745,1,0.184824435
E01008960,E02001942,1,0.227078734
E01008959,E02001942,1,0.252244297
E01008962,E02001942,1,0.311552612
E01008961,E02001942,1,0.209124356
E01032191,E02006717,1,0.403186866
E01032211,E02006717,1,0.294704652
E01032192,E02006717,1,0.302108482
E01010003,E02002072,1,0.172737819
E01010002,E02002072,1,0.255916473
E01010006,E02002072,1,0.192459397
E01010005,E02002072,1,0.1887471
E01010000,E02002072,1,0.190139211
E01032409,E02006759,1,0.212468514
E01032408,E02006759,1,0.184005038
E01032407,E02006759,1,0.184634761
E01032406,E02006759,1,0.190302267
E01032405,E02006759,1,0.228589421
E01009889,E02002014,1,0.309983167
E01009888,E02002014,1,0.219733264
E01009887,E02002014,1,0.236436618
E01009890,E02002014,1,0.233846951
E01009894,E02002009,1,0.248489209
E01009891,E02002009,1,0.255971223
E01009892,E02002009,1,0.22676259
E01009893,E02002009,1,0.268776978
E01009719,E02002026,1,0.209426412
